Product;Color;Size;Ldate;Age Group;Person;Pname;Ptype;Tprice;Currency;Sales Season;Nstore
325191100_2;Other;No Size;41;29-38;Female;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.00031017369727047146
325191300_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325191700_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325191800_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325191900_2;Other;No Size;13;29-38;Female;Socks;Stealth Socks;0.033519553072625705;$;Summer;0.0
325192100_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0012406947890818859
325192200_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0015508684863523572
325192300_2;Other;No Size;39;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325192700_2;Other;No Size;39;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325193100_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.011166253101736974
325193300_2;Other;No Size;39;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325193700_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0
325193800_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325193900_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325194000_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325194100_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325194300_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325194400_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325194500_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325194800_2;Other;No Size;40;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325195000_2;Other;No Size;4;29-38;Female;Socks;Tube Socks;0.039106145251396655;Y;Spring;0.0
325195100_2;Other;No Size;40;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0012406947890818859
325195300_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325195700_2;Other;No Size;35;29-38;Female;Socks;Stockings;0.01675977653631285;$;Autumn;0.005272952853598014
325195800_2;Other;No Size;35;29-38;Female;Socks;Stockings;0.01675977653631285;$;Autumn;0.006513647642679901
325195900_2;Other;No Size;35;29-38;Female;Socks;Stockings;0.01675977653631285;$;Autumn;0.006513647642679901
325196100_2;Other;No Size;35;29-38;Female;Socks;Stockings;0.01675977653631285;$;Autumn;0.007754342431761786
325196503_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.04748603351955308;$;Autumn;0.0
325196601_2;Other;No Size;30;29-38;Men;Socks;Wool Socks;0.05027932960893855;Y;Winter;0.0009305210918114144
325196700_2;Other;No Size;36;29-38;Female;Socks;Stockings;0.01675977653631285;Y;Autumn;0.004652605459057072
325196800_2;Other;No Size;35;29-38;Female;Socks;Stockings;0.0223463687150838;Y;Autumn;0.007133995037220843
325196900_2;Other;No Size;35;29-38;Female;Socks;Stockings;0.01675977653631285;$;Autumn;0.008684863523573201
325197100_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.04748603351955308;$;Autumn;0.00031017369727047146
325197200_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325197400_2;Other;No Size;39;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325197600_2;Other;No Size;35;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325197700_2;Other;No Size;35;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325197800_2;Other;No Size;35;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0
325197900_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325198200_2;Other;No Size;35;29-38;Men;Socks;Wool Socks;0.030726256983240222;Y;Winter;0.0009305210918114144
325198300_2;Other;No Size;36;29-38;Men;Socks;Wool Socks;0.030726256983240222;Y;Winter;0.0009305210918114144
325198700_2;Other;No Size;40;29-38;Men;Socks;Wool Socks;0.030726256983240222;Y;Winter;0.0006203473945409429
325199100_2;Other;No Size;39;29-38;Men;Socks;Wool Socks;0.030726256983240222;Y;Winter;0.00031017369727047146
325199300_2;Other;No Size;33;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0021712158808933004
325199700_2;Other;No Size;33;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0015508684863523572
325200006_2;Other;No Size;23;29-38;Female;Socks;Tights;0.05307262569832403;Y;Spring;0.00031017369727047146
325200500_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.05027932960893855;Y;Spring;0.0
325200903_2;Black;No Size;1;29-38;Female;Short Socks;Short Stockings;0.0111731843575419;$;Spring;0.00031017369727047146
325202004_2;Other;No Size;45;29-38;Female;Boots;Discontinued;0.10614525139664806;$;Autumn;0.0
325202100_2;Other;No Size;33;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.001861042183622829
325202600_2;Other;No Size;33;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.00031017369727047146
325202800_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.05027932960893855;Y;Autumn;0.0
325202901_2;Other;No Size;50;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Winter;0.0
325203400_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0009305210918114144
325203500_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0009305210918114144
325203800_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0024813895781637717
325204000_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0021712158808933004
325204100_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0021712158808933004
325204300_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.0037220843672456576
325204400_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.003101736972704715
325205000_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.004652605459057072
325205100_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.0009305210918114144
325205500_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.005893300248138957
325205700_2;Other;No Size;33;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.005272952853598014
325205800_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.0021712158808933004
325206000_2;Other;No Size;32;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.0043424317617866
325206103_2;Other;No Size;39;29-38;Female;Boots;Disable;0.05027932960893855;$;Winter;0.0
325206400_2;Other;No Size;34;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.03194789081885856
325206500_2;Other;No Size;34;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.015198511166253103
325207700_2;Other;No Size;34;29-38;Female;Socks;Stockings;0.019553072625698324;Y;Autumn;0.015198511166253103
325207900_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.019553072625698324;Y;Autumn;0.003101736972704715
325208100_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.019553072625698324;Y;Autumn;0.016439205955334987
325208200_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.019553072625698324;Y;Autumn;0.013337468982630274
325208302_2;Other;No Size;4;7-9;Boys;Socks;Stockings;0.0223463687150838;Y;Spring;0.0006203473945409429
325208401_2;Other;No Size;3;7-9;Boys;Socks;Tube Socks;0.025139664804469275;Y;Spring;0.0
325208500_2;Other;No Size;3;7-9;Boys;Socks;Tube Socks;0.025139664804469275;Y;Spring;0.0
325208600_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.006203473945409429
325209403_2;Other;No Size;30;29-38;Men;Socks;Wool Socks;0.09776536312849163;Y;Winter;0.0
325209500_2;Other;No Size;50;29-38;Men;Socks;Wool Socks;0.10614525139664806;$;Winter;0.0
325209900_2;Other;No Size;34;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.002791563275434243
325210200_2;Other;No Size;1;29-38;Female;Socks;Invisible Socks;0.006983240223463687;Y;Spring;0.0006203473945409429
325210700_2;Other;No Size;38;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0024813895781637717
325211800_2;Other;No Size;38;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0
325212000_2;Other;No Size;38;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0009305210918114144
325212700_2;Other;No Size;38;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0
325212800_2;Other;No Size;38;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0
325212900_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.0223463687150838;Y;Autumn;0.0
325213100_2;Other;No Size;38;29-38;Men;Socks;Stockings;0.025139664804469275;$;Autumn;0.0
325213300_2;Other;No Size;44;29-38;Female;Socks;Stockings;0.0223463687150838;Y;Winter;0.00031017369727047146
325213500_2;Other;No Size;1;7-9;Boys;Socks;Stockings;0.019553072625698324;Y;Autumn;0.0
325213900_2;Other;No Size;44;29-38;Female;Socks;Stockings;0.0223463687150838;Y;Winter;0.0009305210918114144
325214201_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.039106145251396655;$;Winter;0.0
325214503_2;Other;No Size;1;7-9;Boys;Socks;Stockings;0.019553072625698324;Y;Autumn;0.0
325215301_2;Other;No Size;1;29-38;Female;Socks;Stockings;0.039106145251396655;$;Winter;0.0
325215303_2;Red;No Size;35;29-38;Female;Socks;Stockings;0.039106145251396655;$;Autumn;0.00031017369727047146
325215404_2;Red;No Size;42;29-38;Female;Socks;Stockings;0.05027932960893855;Y;Autumn;0.0006203473945409429
325215500_2;Other;No Size;1;29-38;Female;Socks;Invisible Socks;0.030726256983240222;Y;Spring;0.0
325215502_2;Red;No Size;36;29-38;Female;Socks;Tube Socks;0.039106145251396655;Y;Autumn;0.00031017369727047146
325216201_2;Other;No Size;1;7-9;Boys;Socks;Stockings;0.030726256983240222;Y;Autumn;0.00031017369727047146
325216300_2;Other;No Size;1;7-9;Boys;Socks;Stockings;0.0223463687150838;Y;Autumn;0.0
325216400_2;Other;No Size;44;29-38;Female;Socks;Stockings;0.0223463687150838;Y;Winter;0.001861042183622829
325216500_2;Other;No Size;44;29-38;Female;Socks;Stockings;0.0223463687150838;Y;Winter;0.00031017369727047146
325216600_2;Other;No Size;44;29-38;Female;Socks;Stockings;0.0223463687150838;Y;Winter;0.00031017369727047146
325216700_2;Other;No Size;41;29-38;Female;Socks;Stockings;0.0111731843575419;$;Autumn;0.00031017369727047146
325217600_2;Other;No Size;35;29-38;Men;Socks;Stockings;0.0111731843575419;$;Autumn;0.0
325217800_2;Other;No Size;35;29-38;Men;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.004032258064516129
325217801_2;Other;No Size;40;29-38;Female;Socks;Stockings;0.05307262569832403;Y;Autumn;0.0
325218000_2;Other;No Size;35;29-38;Men;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.001861042183622829
325218400_2;Other;No Size;35;29-38;Men;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.011166253101736974
325218500_2;Other;No Size;35;29-38;Men;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.008995037220843672
325218800_2;Other;No Size;35;29-38;Men;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.0021712158808933004
