Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
325090013_2;2.0;4.0;3.0;1.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0
325090016_2;3.0;5.0;2.0;4.0;6.0;5.0;4.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
325091201_2;3.0;4.0;1.0;6.0;8.0;2.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0
325092401_2;1.0;1.0;1.0;2.0;2.0;4.0;3.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
325092502_2;2.0;2.0;0.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;4.0;2.0;0.0;0.0
325092602_2;1.0;2.0;8.0;10.0;3.0;1.0;2.0;1.0;0.0;5.0;5.0;1.0;1.0;0.0;0.0;0.0
325092603_2;4.0;8.0;6.0;2.0;0.0;3.0;10.0;11.0;10.0;10.0;11.0;9.0;16.0;16.0;4.0;2.0
325093401_2;2.0;8.0;8.0;2.0;5.0;20.0;17.0;6.0;5.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
325095800_2;3.0;3.0;1.0;1.0;1.0;1.0;7.0;8.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0
325099300_2;2.0;5.0;7.0;12.0;15.0;33.0;40.0;25.0;77.0;82.0;59.0;58.0;47.0;61.0;59.0;43.0
325099600_2;3.0;3.0;1.0;1.0;8.0;8.0;15.0;27.0;21.0;14.0;9.0;36.0;126.0;190.0;157.0;80.0
325110000_2;3.0;9.0;16.0;15.0;10.0;14.0;10.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
325110014_2;1.0;1.0;0.0;1.0;2.0;2.0;1.0;0.0;2.0;2.0;2.0;3.0;4.0;3.0;0.0;0.0
325110018_2;3.0;6.0;3.0;4.0;26.0;23.0;2.0;1.0;7.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0
325117502_2;2.0;3.0;2.0;3.0;2.0;0.0;0.0;5.0;25.0;22.0;8.0;16.0;14.0;23.0;30.0;13.0
325118403_2;5.0;7.0;6.0;4.0;2.0;2.0;0.0;14.0;25.0;11.0;1.0;1.0;0.0;0.0;0.0;0.0
325120104_2;2.0;2.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;0.0;2.0
325125900_2;1.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;3.0;8.0;5.0;10.0;12.0;2.0;0.0;1.0
325128200_2;2.0;2.0;0.0;0.0;1.0;5.0;5.0;4.0;3.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0
325128300_2;1.0;1.0;0.0;0.0;0.0;4.0;5.0;3.0;2.0;5.0;9.0;6.0;2.0;2.0;6.0;9.0
325128800_2;1.0;2.0;2.0;1.0;1.0;3.0;6.0;6.0;13.0;12.0;2.0;2.0;3.0;4.0;4.0;5.0
325128900_2;3.0;3.0;4.0;6.0;4.0;4.0;6.0;4.0;0.0;6.0;10.0;8.0;9.0;8.0;4.0;5.0
325129000_2;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;5.0;4.0;3.0;2.0;2.0
325129300_2;1.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;6.0;4.0;0.0;1.0;1.0;0.0
325129700_2;1.0;2.0;1.0;0.0;2.0;2.0;1.0;2.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;2.0
325129800_2;2.0;2.0;2.0;5.0;4.0;1.0;0.0;0.0;1.0;2.0;2.0;2.0;7.0;8.0;2.0;0.0
325129900_2;1.0;4.0;3.0;0.0;0.0;2.0;2.0;3.0;3.0;2.0;6.0;4.0;2.0;6.0;6.0;6.0
325131000_2;2.0;5.0;3.0;6.0;6.0;0.0;0.0;0.0;1.0;2.0;3.0;4.0;9.0;8.0;2.0;2.0
325133000_2;2.0;4.0;3.0;7.0;8.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;8.0;9.0;1.0;0.0
325135600_2;1.0;1.0;1.0;1.0;1.0;5.0;4.0;4.0;7.0;6.0;4.0;1.0;3.0;7.0;5.0;5.0
