;Product;Cluster;Centroid
620;335023300_2;5;335023300_2
621;335025200_2;11;331023400_2
622;335025300_2;11;331023400_2
623;335025400_2;11;331023400_2
624;335025600_2;11;331023400_2
625;335025700_2;11;331023400_2
626;335025800_2;11;331023400_2
627;335026000_2;9;331031900_2
628;335026100_2;9;331031900_2
629;335026200_2;11;331023400_2
630;335027400_2;4;335036700_2
631;335027500_2;5;335023300_2
632;335029700_2;4;335036700_2
633;335029800_2;4;335036700_2
634;335030700_2;4;335036700_2
635;335030900_2;4;335036700_2
636;335031000_2;5;335023300_2
637;335031100_2;4;335036700_2
638;335031200_2;4;335036700_2
639;335031900_2;3;31C999901_2
640;335032100_2;5;335023300_2
641;335035300_2;5;335023300_2
642;335035500_2;9;331031900_2
643;335035600_2;9;331031900_2
644;335035700_2;4;335036700_2
645;335035800_2;11;331023400_2
646;335035900_2;4;335036700_2
647;335036100_2;9;331031900_2
648;335036300_2;9;331031900_2
649;335036400_2;4;335036700_2
650;335036500_2;9;331031900_2
651;335036700_2;4;335036700_2
652;335036800_2;5;335023300_2
653;335036900_2;4;335036700_2
654;335040501_2;9;331031900_2
655;335040601_2;10;337015200_2
656;335040701_2;10;337015200_2
657;335040801_2;10;337015200_2
658;335041001_2;10;337015200_2
659;335041101_2;1;331050500_2
660;335041200_2;5;335023300_2
661;335041300_2;12;327032700_2
662;335041400_2;12;327032700_2
663;335041500_2;5;335023300_2
664;335041600_2;11;331023400_2
665;335041700_2;9;331031900_2
666;335041800_2;12;327032700_2
667;335042700_2;11;331023400_2
668;335042800_2;11;331023400_2
669;335042900_2;11;331023400_2
670;335043000_2;5;335023300_2
671;335043100_2;9;331031900_2
672;335043200_2;11;331023400_2
673;335043300_2;9;331031900_2
674;335043401_2;10;337015200_2
675;335048800_2;9;331031900_2
676;335048900_2;9;331031900_2
677;335051400_2;5;335023300_2
678;335051600_2;9;331031900_2
679;335051700_2;9;331031900_2
680;335054400_2;7;335055200_2
681;335054500_2;2;347000500_2
682;335054600_2;7;335055200_2
683;335054700_2;7;335055200_2
684;335054800_2;7;335055200_2
685;335054900_2;7;335055200_2
686;335055000_2;1;331050500_2
687;335055100_2;7;335055200_2
688;335055200_2;7;335055200_2
689;335055300_2;1;331050500_2
690;335055400_2;7;335055200_2
691;335055500_2;7;335055200_2
692;335055600_2;6;31C999906_2
693;335055700_2;10;337015200_2
694;335055800_2;6;31C999906_2
695;335055900_2;10;337015200_2
696;335056100_2;1;331050500_2
697;335056200_2;10;337015200_2
698;335056300_2;7;335055200_2
699;335056400_2;1;331050500_2
700;335056500_2;7;335055200_2
701;335056600_2;7;335055200_2
702;335056700_2;7;335055200_2
703;335056800_2;7;335055200_2
704;335056900_2;1;331050500_2
705;335057000_2;1;331050500_2
706;335057100_2;7;335055200_2
707;335057200_2;7;335055200_2
708;335057300_2;7;335055200_2
709;335057400_2;1;331050500_2
710;335057500_2;7;335055200_2
711;335057600_2;7;335055200_2
712;335057700_2;7;335055200_2
713;335057800_2;7;335055200_2
714;335058200_2;7;335055200_2
715;335058300_2;7;335055200_2
716;335058400_2;7;335055200_2
717;335058500_2;7;335055200_2
718;335058600_2;7;335055200_2
719;335058700_2;6;31C999906_2
720;335058800_2;10;337015200_2
721;335058900_2;7;335055200_2
722;335060800_2;10;337015200_2
723;335061800_2;7;335055200_2
724;335062500_2;8;332979754_2
725;335275500_2;9;331031900_2
726;335300100_2;4;335036700_2
727;335300400_2;3;31C999901_2
728;335322900_2;6;31C999906_2
729;335322901_2;6;31C999906_2
730;335501700_2;11;331023400_2
731;335846800_2;6;31C999906_2
732;335847000_2;1;331050500_2
733;335871300_2;6;31C999906_2
734;335871400_2;7;335055200_2
735;335871500_2;7;335055200_2
736;335871600_2;10;337015200_2
737;335899401_2;6;31C999906_2
738;335970842_2;7;335055200_2
739;335970843_2;6;31C999906_2
740;335970844_2;8;332979754_2
741;335970845_2;6;31C999906_2
742;335970846_2;6;31C999906_2
743;335970847_2;10;337015200_2
744;335970848_2;1;331050500_2
745;335970849_2;1;331050500_2
746;335970850_2;6;31C999906_2
747;335970851_2;2;347000500_2
748;335970852_2;7;335055200_2
749;335970853_2;1;331050500_2
750;335970858_2;6;31C999906_2
751;335970859_2;6;31C999906_2
752;335970860_2;6;31C999906_2
753;335970861_2;6;31C999906_2
754;335970862_2;10;337015200_2
755;335970863_2;7;335055200_2
756;335970864_2;7;335055200_2
757;335970865_2;7;335055200_2
758;335970866_2;2;347000500_2
759;335970867_2;1;331050500_2
760;335970868_2;1;331050500_2
761;335970869_2;7;335055200_2
762;335970870_2;10;337015200_2
763;335970871_2;1;331050500_2
764;335970872_2;6;31C999906_2
765;335970873_2;6;31C999906_2
766;335970874_2;1;331050500_2
767;335970875_2;1;331050500_2
768;335970876_2;7;335055200_2
769;335970877_2;6;31C999906_2
770;335970878_2;10;337015200_2
771;336006300_2;6;31C999906_2
772;336006400_2;2;347000500_2
773;336006500_2;2;347000500_2
774;336006600_2;2;347000500_2
775;336006700_2;2;347000500_2
776;336007501_2;9;331031900_2
777;336011400_2;5;335023300_2
778;336011500_2;11;331023400_2
779;336011600_2;11;331023400_2
780;336012400_2;11;331023400_2
781;336012500_2;11;331023400_2
782;336012900_2;11;331023400_2
783;336013300_2;11;331023400_2
784;336013800_2;11;331023400_2
785;336014100_2;5;335023300_2
786;336014300_2;12;327032700_2
787;336015300_2;4;335036700_2
788;336993004_2;3;31C999901_2
789;336993005_2;5;335023300_2
790;336993006_2;8;332979754_2
791;336993007_2;5;335023300_2
792;336993008_2;5;335023300_2
793;337001601_2;4;335036700_2
794;337001901_2;10;337015200_2
795;337001902_2;2;347000500_2
796;337002001_2;11;331023400_2
797;337002902_2;12;327032700_2
798;337002903_2;11;331023400_2
799;337002904_2;10;337015200_2
800;337002905_2;6;31C999906_2
801;337003003_2;11;331023400_2
802;337005503_2;11;331023400_2
803;337005802_2;8;332979754_2
804;337005901_2;4;335036700_2
805;337006001_2;6;31C999906_2
806;337006401_2;5;335023300_2
807;337006901_2;12;327032700_2
808;337009901_2;4;335036700_2
809;337009903_2;5;335023300_2
810;337009905_2;5;335023300_2
811;337011901_2;9;331031900_2
812;337012000_2;10;337015200_2
813;337012200_2;6;31C999906_2
814;337012700_2;10;337015200_2
815;337012800_2;6;31C999906_2
816;337013000_2;6;31C999906_2
817;337013100_2;2;347000500_2
818;337013200_2;2;347000500_2
819;337013600_2;5;335023300_2
820;337014600_2;4;335036700_2
821;337014800_2;10;337015200_2
822;337014900_2;10;337015200_2
823;337015000_2;11;331023400_2
824;337015100_2;10;337015200_2
825;337015200_2;10;337015200_2
826;337015300_2;10;337015200_2
827;337015400_2;10;337015200_2
828;337015500_2;11;331023400_2
829;337015600_2;10;337015200_2
830;337015700_2;10;337015200_2
831;337015800_2;11;331023400_2
832;337015900_2;10;337015200_2
833;337016000_2;11;331023400_2
834;337016001_2;3;31C999901_2
835;337016100_2;10;337015200_2
836;337016600_2;5;335023300_2
837;337016800_2;5;335023300_2
838;337016900_2;5;335023300_2
839;337017000_2;3;31C999901_2
840;337017100_2;5;335023300_2
841;337017200_2;8;332979754_2
842;337017300_2;10;337015200_2
843;337017400_2;10;337015200_2
844;337031600_2;4;335036700_2
845;337081300_2;9;331031900_2
846;337081701_2;9;331031900_2
847;337082100_2;11;331023400_2
848;337082301_2;11;331023400_2
