Product;Cluster;Centroid
335041001_2;11;337015200_2
335041101_2;8;331995287_2
335041200_2;2;331039400_2
335041300_2;9;335025700_2
335041400_2;6;336011600_2
335041500_2;5;335023000_2
335041600_2;9;335025700_2
335041700_2;9;335025700_2
335041800_2;9;335025700_2
335042700_2;12;331023400_2
335042800_2;9;335025700_2
335042900_2;9;335025700_2
335043000_2;4;332037600_2
335043100_2;10;331031700_2
335043200_2;9;335025700_2
335043300_2;5;335023000_2
335043401_2;11;337015200_2
335048800_2;5;335023000_2
335048900_2;10;331031700_2
335051400_2;2;331039400_2
335051600_2;10;331031700_2
335051700_2;10;331031700_2
335054400_2;7;331051800_2
335054500_2;7;331051800_2
335054600_2;7;331051800_2
335054700_2;7;331051800_2
335054800_2;7;331051800_2
335054900_2;7;331051800_2
335055000_2;1;331995271_2
335055100_2;7;331051800_2
335055200_2;7;331051800_2
335055300_2;1;331995271_2
335055400_2;7;331051800_2
335055500_2;7;331051800_2
335055600_2;1;331995271_2
335055700_2;11;337015200_2
335055800_2;1;331995271_2
335055900_2;11;337015200_2
335056100_2;1;331995271_2
335056200_2;11;337015200_2
335056300_2;7;331051800_2
335056400_2;1;331995271_2
335056500_2;7;331051800_2
335056600_2;1;331995271_2
335056700_2;7;331051800_2
335056800_2;7;331051800_2
335056900_2;8;331995287_2
335057000_2;1;331995271_2
335057100_2;1;331995271_2
335057200_2;1;331995271_2
335057300_2;7;331051800_2
335057400_2;1;331995271_2
335057500_2;7;331051800_2
335057600_2;7;331051800_2
335057700_2;7;331051800_2
335057800_2;7;331051800_2
335058200_2;7;331051800_2
335058300_2;1;331995271_2
335058400_2;7;331051800_2
335058500_2;7;331051800_2
335058600_2;7;331051800_2
335058700_2;1;331995271_2
335058800_2;11;337015200_2
335058900_2;1;331995271_2
335060800_2;11;337015200_2
335061800_2;7;331051800_2
335062500_2;8;331995287_2
335275500_2;10;331031700_2
335300100_2;3;335015200_2
335300400_2;3;335015200_2
335322900_2;1;331995271_2
335322901_2;1;331995271_2
335501700_2;12;331023400_2
335846800_2;1;331995271_2
335847000_2;1;331995271_2
335871300_2;1;331995271_2
335871400_2;7;331051800_2
335871500_2;7;331051800_2
335871600_2;11;337015200_2
335899401_2;1;331995271_2
335970842_2;7;331051800_2
335970843_2;1;331995271_2
335970844_2;4;332037600_2
335970845_2;1;331995271_2
335970846_2;1;331995271_2
335970847_2;1;331995271_2
335970848_2;1;331995271_2
335970849_2;1;331995271_2
335970850_2;1;331995271_2
335970851_2;7;331051800_2
335970852_2;7;331051800_2
335970853_2;1;331995271_2
335970858_2;1;331995271_2
335970859_2;1;331995271_2
335970860_2;1;331995271_2
335970861_2;1;331995271_2
335970862_2;11;337015200_2
335970863_2;7;331051800_2
335970864_2;7;331051800_2
335970865_2;7;331051800_2
335970866_2;7;331051800_2
335970867_2;8;331995287_2
335970868_2;7;331051800_2
335970869_2;7;331051800_2
335970870_2;11;337015200_2
335970871_2;8;331995287_2
335970872_2;1;331995271_2
335970873_2;1;331995271_2
335970874_2;1;331995271_2
335970875_2;1;331995271_2
335970876_2;1;331995271_2
335970877_2;1;331995271_2
335970878_2;11;337015200_2
336006300_2;11;337015200_2
336006400_2;7;331051800_2
336006500_2;7;331051800_2
336006600_2;7;331051800_2
336006700_2;7;331051800_2
336007501_2;5;335023000_2
336011400_2;2;331039400_2
336011500_2;12;331023400_2
336011600_2;6;336011600_2
336012400_2;12;331023400_2
336012500_2;12;331023400_2
336012900_2;12;331023400_2
336013300_2;9;335025700_2
336013800_2;12;331023400_2
336014100_2;3;335015200_2
336014300_2;6;336011600_2
336015300_2;3;335015200_2
336993004_2;3;335015200_2
336993005_2;2;331039400_2
336993006_2;4;332037600_2
336993007_2;2;331039400_2
336993008_2;3;335015200_2
337001601_2;3;335015200_2
337001901_2;11;337015200_2
337001902_2;7;331051800_2
337002001_2;10;331031700_2
337002902_2;6;336011600_2
337002903_2;12;331023400_2
337002904_2;11;337015200_2
337002905_2;1;331995271_2
337003003_2;12;331023400_2
337005503_2;8;331995287_2
337005802_2;4;332037600_2
337005901_2;2;331039400_2
337006001_2;7;331051800_2
337006401_2;3;335015200_2
337006901_2;6;336011600_2
337009901_2;2;331039400_2
337009903_2;3;335015200_2
337009905_2;4;332037600_2
337011901_2;9;335025700_2
337012000_2;11;337015200_2
337012200_2;11;337015200_2
337012700_2;11;337015200_2
337012800_2;1;331995271_2
337013000_2;1;331995271_2
337013100_2;7;331051800_2
337013200_2;7;331051800_2
337013600_2;2;331039400_2
